0.1,10000,10000,5006,8434,11742,15866,19852,20000
0.2,10000,10000,3782,7520,11014,15018,19780,20000
0.25,10000,10000,3476,7370,10906,15008,19718,20000
0.3,10000,10000,3268,7050,10822,14816,19708,20000
0.35,9841,9836,3226,7112,10778,14658,19390,20000
0.4,8407,8351,3160,6906,10540,14796,16359,20000
0.45,6641,6527,2886,6784,10746,13551,12618,20000
0.5,5082,4982,2876,6828,10399,10783,9474,20000
0.55,4000,3894,2692,6754,9362,8038,7378,20000
0.6,3089,3005,2786,6674,7116,5352,5570,20000
0.65,2396,2395,2708,6479,5127,3689,4284,20000
0.7,1763,1798,2682,5062,3524,2589,3118,20000
0.75,1367,1424,2500,3776,2396,1692,2416,20000
0.8,1035,1164,2462,2348,1519,1050,1922,20000
0.85,792,987,2395,1623,955,688,1549,20000
0.9,563,824,1695,947,593,455,1229,20000
